Cancer type,Datasets,Omics,Origin,Year,Country,PMID,Journal,Data banks/repositories,Accession numbers/web links
LUSC,Gentles-bulk_2020,RNA-seq,h,2020,USA,32381040,Genome Biology,GEO,GSE111907
LUAD,Gentles-malign_2020,RNA-seq,h,2020,USA,32381040,Genome Biology,GEO,GSE111907
LUSC,Gentles-malign_2020,RNA-seq,h,2020,USA,32381040,Genome Biology,GEO,GSE111907
LUAD,Mender_2018,RNA-seq,cells,2018,USA,30015158,Neoplasia,GEO,GSE109821
LUAD,Kim_2013,RNA-seq,h,2013,Korea,23405175,Plos One,GEO,GSE37765
LUAD,Huang_2022,RNA-seq,h,2022,China,36211815,Oxidative Medicine And Cellular Longevity,GEO,GSE197346
LUAD,Sun_2014,RNA-seq,h,2014,USA,24894543,Bmc Medical Genomics,GEO,GSE87340
LUAD,Hu_2023,RNA-seq,h,2023,China,36869384,Genome Medicine,GEO,GSE207422
LUSC,Hu_2023,RNA-seq,h,2023,China,36869384,Genome Medicine,GEO,GSE207422
SCLC,Mahoney_2019,RNA-seq,cells,2019,USA,30626880,Nature Communications,Article,supplementary
LUAD,Sun_2021,RNA-seq,m,2021,USA,34996889,Nature Communications,Figshare,https://figshare.com/articles/dataset/DataFreeze_v5/14390408
LUSC,Sun_2021,RNA-seq,m,2021,USA,34996889,Nature Communications,Figshare,https://figshare.com/articles/dataset/DataFreeze_v5/14390408
SCLC,Sun_2021,RNA-seq,m,2021,USA,34996889,Nature Communications,Figshare,https://figshare.com/articles/dataset/DataFreeze_v5/14390408
LUAD,Wang_2017,Array,m,2017,Canada,27750381,International Journal of Cancer,Article,supplementary
LUSC,Wang_2017,Array,m,2017,Canada,27750381,International Journal of Cancer,Article,supplementary
LUAD,Shi_2020,RNA-seq,"h,m,cells",2020,Canada,31694835,Clinical Cancer Research,GEO,GSE119004
LUSC,Shi_2020,RNA-seq,"h,m,cells",2020,Canada,31694835,Clinical Cancer Research,GEO,GSE119004
LUAD,McMillan_2018,RNA-seq,cells,2018,USA,29681454,Cell,Article,supplementary
LUSC,McMillan_2018,RNA-seq,cells,2018,USA,29681454,Cell,Article,supplementary
LUAD,Sugiyama_2020,RNA-seq,h,2020,Japan,32005679,Science Immunology,GEO,GSE141569
LUAD,Sivakumar_2017,RNA-seq,h,2017,USA,28951454,Cancer Research,GEO,GSE102511
LUAD,Lu_2020,RNA-seq,h,2020,China,32629386,Ebiomedicine,GEO,GSE120622
LUSC,Lu_2020,RNA-seq,h,2020,China,32629386,Ebiomedicine,GEO,GSE120622
LUSC,Zhang_2019,RNA-seq,h,2019,China,31289132,Cancer Research,GEO,GSE124625
LUSC,Otaka_2017,RNA-seq,h,2017,Japan,28087642,Clinical Cancer Research,GEO,GSE84339
LUAD,Thaiparambil_2022,RNA-seq,h,2022,USA,35676822,Cancer Medicine,GEO,GSE159857
LUSC,Thaiparambil_2022,RNA-seq,h,2022,USA,35676822,Cancer Medicine,GEO,GSE159857
